date,open,high,low,close,volume,bar_count,average
20220426  15:15:00,402.32,402.57,401.855,401.855,,,
20220426  15:16:00,401.855,402.0,401.515,401.715,,,
20220426  15:17:00,401.715,401.73,401.485,401.57,,,
20220426  15:18:00,401.57,401.605,401.24,401.31,,,
20220426  15:19:00,401.31,401.515,401.3,401.49,,,
20220426  15:20:00,401.49,402.195,401.405,402.09,,,
20220426  15:21:00,402.09,402.74,402.09,402.28,,,
20220426  15:22:00,402.28,402.365,401.715,402.365,,,
20220426  15:23:00,402.365,402.365,401.985,402.01,,,
20220426  15:24:00,402.01,402.64,402.0,402.24,,,
20220426  15:25:00,402.24,402.53,402.15,402.28,,,
20220426  15:26:00,402.28,402.46,401.845,401.85,,,
20220426  15:27:00,401.85,401.925,401.65,401.76,,,
20220426  15:28:00,401.76,401.785,401.19,401.545,,,
20220426  15:29:00,401.545,401.795,401.26,401.265,,,
20220426  15:30:00,401.265,401.71,401.025,401.13,,,
20220426  15:31:00,401.13,401.17,400.535,400.555,,,
20220426  15:32:00,400.555,400.58,400.295,400.345,,,
20220426  15:33:00,400.345,400.55,400.305,400.325,,,
20220426  15:34:00,400.325,400.555,400.25,400.48,,,
20220426  15:35:00,400.48,400.505,400.16,400.18,,,
20220426  15:36:00,400.18,400.485,400.115,400.38,,,
20220426  15:37:00,400.38,400.985,400.37,400.67,,,
20220426  15:38:00,400.67,400.86,400.575,400.835,,,
20220426  15:39:00,400.835,401.055,400.635,400.975,,,
20220426  15:40:00,400.975,401.395,400.82,400.98,,,
20220426  15:41:00,400.98,401.07,400.55,400.765,,,
20220426  15:42:00,400.765,400.765,400.16,400.3,,,
20220426  15:43:00,400.3,400.82,400.255,400.685,,,
20220426  15:44:00,400.685,401.505,400.585,401.21,,,
20220426  15:45:00,401.21,401.725,401.105,401.37,,,
20220426  15:46:00,401.37,401.37,400.41,400.44,,,
20220426  15:47:00,400.44,400.475,400.125,400.295,,,
20220426  15:48:00,400.295,400.665,399.88,400.58,,,
20220426  15:49:00,400.58,400.62,400.315,400.36,,,
20220426  15:50:00,400.36,400.725,399.775,400.645,,,
20220426  15:51:00,400.645,400.99,400.13,400.37,,,
20220426  15:52:00,400.37,400.96,400.195,400.36,,,
20220426  15:53:00,400.36,400.59,399.865,399.875,,,
20220426  15:54:00,399.875,400.03,399.15,399.39,,,
20220426  15:55:00,399.39,400.31,399.23,400.165,,,
20220426  15:56:00,400.165,400.165,399.235,399.3,,,
20220426  15:57:00,399.3,400.135,399.29,399.87,,,
20220426  15:58:00,399.87,400.175,399.685,399.925,,,
20220426  15:59:00,399.925,399.925,399.2,399.255,,,
20220427  09:30:00,401.775,404.52,400.675,404.24,,,
20220427  09:31:00,404.24,404.395,403.3,403.365,,,
20220427  09:32:00,403.365,404.69,403.36,404.035,,,
20220427  09:33:00,404.035,405.965,404.035,405.755,,,
20220427  09:34:00,405.755,406.675,404.575,405.29,,,
20220427  09:35:00,405.29,407.155,405.255,407.085,,,
20220427  09:36:00,407.085,407.825,405.76,406.4,,,
20220427  09:37:00,406.4,407.205,406.345,406.88,,,
20220427  09:38:00,406.88,407.89,405.955,406.755,,,
20220427  09:39:00,406.755,407.725,406.435,407.56,,,
20220427  09:40:00,407.56,408.24,407.125,408.07,,,
20220427  09:41:00,408.07,408.08,407.25,407.585,,,
20220427  09:42:00,407.585,408.23,407.585,407.675,,,
20220427  09:43:00,407.675,408.61,407.67,408.49,,,
20220427  09:44:00,408.49,408.765,407.745,408.2,,,
20220427  09:45:00,408.2,409.815,408.2,408.75,,,
20220427  09:46:00,408.75,409.34,408.38,409.15,,,
20220427  09:47:00,409.15,409.765,409.15,409.435,,,
20220427  09:48:00,409.435,409.715,409.275,409.41,,,
20220427  09:49:00,409.41,410.185,409.39,409.795,,,
20220427  09:50:00,409.795,411.805,409.615,411.41,,,
20220427  09:51:00,411.41,411.985,411.275,411.53,,,
20220427  09:52:00,411.53,411.785,410.505,410.86,,,
20220427  09:53:00,410.86,412.135,410.725,411.75,,,
20220427  09:54:00,411.75,412.33,411.665,412.045,,,
20220427  09:55:00,412.045,412.12,411.605,411.78,,,
20220427  09:56:00,411.78,411.78,410.365,410.68,,,
20220427  09:57:00,410.68,410.885,409.73,409.77,,,
20220427  09:58:00,409.77,410.19,409.23,410.19,,,
20220427  09:59:00,410.19,410.345,409.89,410.035,,,
20220427  10:00:00,410.035,410.585,409.7,409.935,,,
20220427  10:01:00,409.935,411.345,409.89,410.005,,,
20220427  10:02:00,410.005,410.015,407.46,407.475,,,
20220427  10:03:00,407.475,407.67,406.66,407.2,,,
20220427  10:04:00,407.2,407.66,406.625,406.665,,,
20220427  10:05:00,406.665,406.865,405.755,405.935,,,
20220427  10:06:00,405.935,407.075,405.68,406.625,,,
20220427  10:07:00,406.625,407.1,406.625,406.965,,,
20220427  10:08:00,406.965,407.105,405.625,405.765,,,
20220427  10:09:00,405.765,406.265,405.48,405.61,,,
20220427  10:10:00,405.61,405.785,404.89,405.755,,,
20220427  10:11:00,405.755,405.84,404.485,404.77,,,
20220427  10:12:00,404.77,404.775,403.575,403.65,,,
20220427  10:13:00,403.65,404.45,403.65,404.125,,,
20220427  10:14:00,404.125,404.335,403.21,403.345,,,
20220427  10:15:00,403.345,403.495,402.24,402.305,,,
20220427  10:16:00,402.305,402.56,401.96,402.005,,,
20220427  10:17:00,402.005,402.075,400.86,401.02,,,
20220427  10:18:00,401.02,401.77,400.685,401.07,,,
20220427  10:19:00,401.07,402.375,401.07,402.22,,,
20220427  10:20:00,402.22,402.63,401.985,402.435,,,
20220427  10:21:00,402.435,403.965,402.245,403.565,,,
20220427  10:22:00,403.565,403.6,402.765,403.035,,,
20220427  10:23:00,403.035,403.035,402.475,402.89,,,
20220427  10:24:00,402.89,403.215,400.89,401.73,,,
20220427  10:25:00,401.73,402.65,401.345,402.01,,,
20220427  10:26:00,402.01,402.325,401.45,401.565,,,
20220427  10:27:00,401.565,401.78,401.065,401.375,,,
20220427  10:28:00,401.375,402.265,401.365,402.23,,,
20220427  10:29:00,402.23,402.535,401.01,401.015,,,
20220427  10:30:00,401.015,401.565,400.69,401.37,,,
20220427  10:31:00,401.37,401.575,400.3,400.63,,,
20220427  10:32:00,400.63,400.845,400.235,400.51,,,
20220427  10:33:00,400.51,400.51,400.16,400.165,,,
20220427  10:34:00,400.165,401.74,400.16,401.625,,,
20220427  10:35:00,401.625,403.535,401.555,403.325,,,
20220427  10:36:00,403.325,404.19,403.07,403.505,,,
20220427  10:37:00,403.505,403.505,401.83,402.55,,,
20220427  10:38:00,402.55,403.09,402.17,403.08,,,
20220427  10:39:00,403.08,403.77,402.825,403.35,,,
20220427  10:40:00,403.35,403.485,402.79,403.44,,,
20220427  10:41:00,403.44,403.68,402.84,403.305,,,
20220427  10:42:00,403.305,403.425,402.86,403.04,,,
20220427  10:43:00,403.04,404.235,403.035,403.885,,,
20220427  10:44:00,403.885,403.945,403.29,403.52,,,
20220427  10:45:00,403.52,403.615,402.8,403.275,,,
20220427  10:46:00,403.275,404.485,403.07,404.405,,,
20220427  10:47:00,404.405,404.845,403.815,404.665,,,
20220427  10:48:00,404.665,405.215,404.43,404.78,,,
20220427  10:49:00,404.78,405.54,404.425,405.445,,,
20220427  10:50:00,405.445,405.48,404.44,404.44,,,
20220427  10:51:00,404.44,404.75,404.185,404.185,,,
20220427  10:52:00,404.185,404.185,403.365,403.67,,,
20220427  10:53:00,403.67,404.31,403.67,403.835,,,
20220427  10:54:00,403.835,403.835,402.785,403.015,,,
20220427  10:55:00,403.015,403.67,402.87,402.945,,,
20220427  10:56:00,402.945,403.435,402.825,402.9,,,
20220427  10:57:00,402.9,403.38,402.675,403.38,,,
20220427  10:58:00,403.38,403.41,402.885,403.125,,,
20220427  10:59:00,403.125,403.39,402.93,403.01,,,
20220427  11:00:00,403.01,405.32,403.01,405.255,,,
20220427  11:01:00,405.255,406.525,405.255,406.015,,,
20220427  11:02:00,406.015,406.44,405.795,405.965,,,
20220427  11:03:00,405.965,406.055,404.395,404.59,,,
20220427  11:04:00,404.59,404.91,403.87,403.87,,,
20220427  11:05:00,403.87,403.975,402.81,403.215,,,
20220427  11:06:00,403.215,403.615,402.67,402.83,,,
20220427  11:07:00,402.83,404.085,402.77,403.47,,,
20220427  11:08:00,403.47,404.365,403.03,404.06,,,
20220427  11:09:00,404.06,404.07,402.725,402.835,,,
20220427  11:10:00,402.835,402.835,401.87,402.48,,,
20220427  11:11:00,402.48,402.725,402.025,402.29,,,
20220427  11:12:00,402.29,402.77,402.105,402.41,,,
20220427  11:13:00,402.41,404.045,402.39,403.66,,,
20220427  11:14:00,403.66,403.83,402.995,403.555,,,
20220427  11:15:00,403.555,405.02,403.555,404.37,,,
20220427  11:16:00,404.37,404.86,404.09,404.205,,,
20220427  11:17:00,404.205,404.28,403.5,403.53,,,
20220427  11:18:00,403.53,403.77,403.005,403.325,,,
20220427  11:19:00,403.325,404.135,403.2,404.02,,,
20220427  11:20:00,404.02,404.06,402.305,402.855,,,
20220427  11:21:00,402.855,403.595,402.44,402.915,,,
20220427  11:22:00,402.915,404.58,402.915,404.025,,,
20220427  11:23:00,404.025,404.745,403.925,404.33,,,
20220427  11:24:00,404.33,404.58,403.78,403.96,,,
20220427  11:25:00,403.96,404.475,403.875,404.205,,,
20220427  11:26:00,404.205,404.8,402.95,403.44,,,
20220427  11:27:00,403.44,403.605,403.12,403.28,,,
20220427  11:28:00,403.28,403.695,403.07,403.435,,,
20220427  11:29:00,403.435,404.205,402.97,403.95,,,
20220427  11:30:00,403.95,404.92,403.945,404.65,,,
20220427  11:31:00,404.65,405.39,404.63,405.38,,,
