date,AAPL,ADBE
20210104  09:30:00,133.145,499.55
20210104  09:31:00,133.34,499.59
20210104  09:32:00,133.11,499.725
20210104  09:33:00,132.745,499.37
20210104  09:34:00,132.81,499.095
20210104  09:35:00,132.625,498.215
20210104  09:36:00,132.325,496.33
20210104  09:37:00,132.21,495.86
20210104  09:38:00,131.92,495.29
20210104  09:39:00,131.89,494.515
20210104  09:40:00,131.73,493.79
20210104  09:41:00,132.135,494.045
20210104  09:42:00,132.215,494.08
20210104  09:43:00,132.185,493.33
20210104  09:44:00,132.07,493.57
20210104  09:45:00,132.02,493.905
20210104  09:46:00,131.95,493.78
20210104  09:47:00,131.975,493.025
20210104  09:48:00,132.005,493.31
20210104  09:49:00,132.245,494.325
20210104  09:50:00,131.955,494.295
20210104  09:51:00,131.875,493.665
20210104  09:52:00,131.685,494.09
20210104  09:53:00,131.825,494.445
20210104  09:54:00,131.585,495.4
20210104  09:55:00,132.06,495.65
20210104  09:56:00,132.005,495.78
20210104  09:57:00,131.84,494.86
20210104  09:58:00,131.585,495.03
20210104  09:59:00,131.45,495.3
20210104  10:00:00,131.365,495.21
20210104  10:01:00,131.345,495.55
20210104  10:02:00,131.365,495.535
20210104  10:03:00,131.185,495.845
20210104  10:04:00,131.115,496.13
20210104  10:05:00,131.365,496.195
20210104  10:06:00,131.455,495.985
20210104  10:07:00,131.305,495.35
20210104  10:08:00,131.185,495.19
20210104  10:09:00,130.875,495.36
20210104  10:10:00,130.855,495.41
20210104  10:11:00,130.675,494.245
20210104  10:12:00,130.395,494.045
20210104  10:13:00,130.665,494.47
20210104  10:14:00,130.505,494.675
20210104  10:15:00,130.61,494.775
20210104  10:16:00,130.915,494.765
20210104  10:17:00,130.81,494.645
20210104  10:18:00,130.885,494.98
20210104  10:19:00,130.89,494.96
20210104  10:20:00,130.965,494.995
20210104  10:21:00,131.09,495.015
20210104  10:22:00,130.955,495.17
20210104  10:23:00,131.025,494.895
20210104  10:24:00,130.935,494.815
20210104  10:25:00,131.085,495.13
20210104  10:26:00,131.055,495.165
20210104  10:27:00,130.965,495.46
20210104  10:28:00,130.99,495.75
20210104  10:29:00,131.055,495.91
20210104  10:30:00,131.165,496.04
20210104  10:31:00,130.965,495.965
20210104  10:32:00,130.745,495.955
20210104  10:33:00,130.705,495.54
20210104  10:34:00,130.685,495.445
20210104  10:35:00,130.575,495.59
20210104  10:36:00,130.795,495.44
20210104  10:37:00,130.845,495.865
20210104  10:38:00,130.985,496.03
20210104  10:39:00,131.11,496.405
20210104  10:40:00,131.295,496.445
20210104  10:41:00,131.245,496.4
20210104  10:42:00,131.235,496.835
20210104  10:43:00,131.175,496.785
20210104  10:44:00,131.045,496.85
20210104  10:45:00,130.515,495.575
20210104  10:46:00,130.56,495.515
20210104  10:47:00,130.63,495.465
20210104  10:48:00,130.72,495.39
